

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.005  000.005: --- NVIM STARTING ---
000.121  000.116: event init
000.636  000.515: early init
000.916  000.280: locale set
000.983  000.066: init first window
001.823  000.840: inits 1
001.835  000.012: window checked
001.877  000.041: parsing arguments
002.899  000.188  000.188: require('vim.shared')
003.137  000.148  000.148: require('vim._meta')
003.140  000.237  000.089: require('vim._editor')
003.141  000.455  000.030: require('vim._init_packages')
003.143  000.811: init lua interpreter
005.067  001.924: expanding arguments
005.100  000.033: inits 2
005.564  000.465: init highlight
005.726  000.162: waiting for UI
008.374  002.648: done waiting for UI
008.399  000.024: clear screen
008.671  000.272: init default mappings
008.687  000.016: init default autocommands
011.489  000.202  000.202: sourcing /usr/share/nvim/runtime/ftplugin.vim
012.646  000.080  000.080: sourcing /usr/share/nvim/runtime/indent.vim
014.154  000.678  000.678: require('core.pack')
016.107  001.915  001.915: require('core.options')
020.822  000.124  000.124: require('vim.treesitter.language')
020.839  000.935  000.811: require('vim.treesitter.query')
023.602  000.716  000.716: require('vim.treesitter.languagetree')
023.614  001.017  000.302: require('vim.treesitter')
023.712  002.169  001.152: require('nvim-treesitter.parsers')
023.891  000.177  000.177: require('nvim-treesitter.utils')
023.898  002.785  000.439: require('nvim-treesitter.ts_utils')
023.902  003.062  000.277: require('nvim-treesitter.tsrange')
024.019  000.115  000.115: require('nvim-treesitter.caching')
024.027  004.565  000.454: require('nvim-treesitter.query')
024.036  005.988  001.423: require('nvim-treesitter.configs')
025.297  000.329  000.329: require('nvim-treesitter.info')
025.837  000.536  000.536: require('nvim-treesitter.shell_command_selectors')
025.952  001.903  001.039: require('nvim-treesitter.install')
107.023  000.301  000.301: require('cmp.utils.debug')
107.353  000.143  000.143: require('cmp.utils.char')
107.360  000.330  000.186: require('cmp.utils.str')
107.432  000.071  000.071: require('cmp.utils.pattern')
108.222  000.381  000.381: require('cmp.utils.misc')
108.370  000.144  000.144: require('cmp.utils.buffer')
108.572  000.199  000.199: require('cmp.utils.api')
108.596  000.969  000.245: require('cmp.utils.keymap')
108.602  001.168  000.199: require('cmp.utils.feedkeys')
108.859  000.255  000.255: require('cmp.utils.async')
109.773  000.292  000.292: require('cmp.types.cmp')
110.316  000.538  000.538: require('cmp.types.lsp')
110.938  000.618  000.618: require('cmp.types.vim')
110.942  001.690  000.242: require('cmp.types')
111.097  000.153  000.153: require('cmp.utils.cache')
111.103  002.241  000.398: require('cmp.context')
112.955  000.668  000.668: require('cmp.config.mapping')
114.158  000.676  000.676: require('cmp.config.compare')
114.166  001.202  000.526: require('cmp.config.default')
114.187  002.359  000.489: require('cmp.config')
116.139  000.663  000.663: require('cmp.matcher')
116.150  001.961  001.298: require('cmp.entry')
116.158  005.054  000.734: require('cmp.source')
117.112  000.146  000.146: require('cmp.utils.event')
118.460  000.990  000.990: require('cmp.utils.window')
118.468  001.351  000.361: require('cmp.view.docs_view')
119.743  000.232  000.232: require('cmp.utils.autocmd')
119.754  001.284  001.052: require('cmp.view.custom_entries_view')
120.081  000.325  000.325: require('cmp.view.wildmenu_entries_view')
120.428  000.344  000.344: require('cmp.view.native_entries_view')
120.833  000.388  000.388: require('cmp.view.ghost_text_view')
120.845  004.685  000.846: require('cmp.view')
120.901  014.617  000.512: require('cmp.core')
121.103  000.111  000.111: require('cmp.config.sources')
121.268  000.161  000.161: require('cmp.config.window')
121.312  015.754  000.865: require('cmp')
123.971  000.145  000.145: require('luasnip.session')
124.620  000.645  000.645: require('luasnip.util.util')
124.758  000.133  000.133: require('luasnip.util.types')
125.048  000.114  000.114: require('luasnip.util.ext_opts')
125.052  000.246  000.132: require('luasnip.nodes.util')
125.349  000.295  000.295: require('luasnip.util.events')
125.360  001.759  000.295: require('luasnip.nodes.node')
125.739  000.100  000.100: require('luasnip.util.extend_decorator')
125.762  000.400  000.300: require('luasnip.nodes.insertNode')
125.994  000.228  000.228: require('luasnip.nodes.textNode')
126.139  000.141  000.141: require('luasnip.util.mark')
126.634  000.374  000.374: require('luasnip.util._builtin_vars')
126.688  000.049  000.049: require('vim.inspect')
126.743  000.601  000.178: require('luasnip.util.environ')
126.927  000.181  000.181: require('luasnip.util.pattern_tokenizer')
127.045  000.115  000.115: require('luasnip.util.dict')
127.375  000.326  000.326: require('luasnip.session.snippet_collection')
127.424  005.131  001.380: require('luasnip.nodes.snippet')
127.707  000.075  000.075: require('luasnip.loaders._caches')
128.042  000.331  000.331: require('luasnip.util.path')
128.070  000.642  000.235: require('luasnip.loaders')
128.496  000.408  000.408: require('luasnip.nodes.functionNode')
129.081  000.581  000.581: require('luasnip.nodes.choiceNode')
129.526  000.436  000.436: require('luasnip.nodes.dynamicNode')
129.932  000.400  000.400: require('luasnip.nodes.restoreNode')
131.165  000.329  000.329: require('luasnip.util.parser.neovim_ast')
135.335  000.280  000.280: require('luasnip.util.directed_graph')
135.350  005.034  004.426: require('luasnip.util.parser.ast_utils')
136.069  000.341  000.341: require('luasnip.util.functions')
136.077  000.724  000.383: require('luasnip.util.parser.ast_parser')
136.556  000.478  000.478: require('luasnip.util.parser.neovim_parser')
136.819  000.258  000.258: require('luasnip.util.str')
136.827  006.885  000.391: require('luasnip.util.parser')
137.568  000.191  000.191: require('luasnip.extras.filetype_functions')
137.854  000.272  000.272: require('luasnip.nodes.absolute_indexer')
138.169  000.310  000.310: require('luasnip.extras')
138.578  000.405  000.405: require('luasnip.extras.fmt')
139.272  000.441  000.441: require('luasnip.extras.conditions')
139.374  000.097  000.097: require('luasnip.extras.conditions.show')
139.380  000.728  000.190: require('luasnip.extras.conditions.expand')
139.382  000.799  000.071: require('luasnip.extras.expand_conditions')
139.532  000.148  000.148: require('luasnip.extras.postfix')
139.864  003.036  000.911: require('luasnip.config')
139.871  018.557  001.038: require('luasnip')
140.126  000.252  000.252: require('modules.ui.icons')
144.318  000.423  000.423: require('vim.treesitter.highlighter')
144.434  002.979  002.556: require('treesitter-context')
149.798  001.126  001.126: require('plenary.bit')
150.012  000.207  000.207: require('plenary.functional')
150.041  000.013  000.013: require('ffi')
150.175  004.293  002.946: require('plenary.path')
151.321  000.777  000.777: require('plenary.job')
151.326  001.147  000.369: require('harpoon.utils')
152.033  000.603  000.603: require('plenary.log')
152.147  000.819  000.216: require('harpoon.dev')
153.728  008.848  002.590: require('harpoon')
155.123  000.491  000.491: require('nvim-lastplace')
156.597  000.465  000.465: require('neo-tree.log')
156.622  001.094  000.630: require('neo-tree.utils')
158.183  000.205  000.205: require('nui.object')
158.691  000.058  000.058: require('vim.keymap')
158.704  000.391  000.333: require('nui.utils')
158.713  000.526  000.135: require('nui.text')
158.719  001.264  000.532: require('nui.line')
159.382  000.143  000.143: require('nui.tree.util')
159.395  000.674  000.531: require('nui.tree')
160.115  000.173  000.173: require('nui.utils.buf_storage')
160.774  000.654  000.654: require('nui.utils.autocmd')
160.995  000.216  000.216: require('nui.utils.keymap')
162.195  000.860  000.860: require('nui.layout.utils')
162.225  001.221  000.361: require('nui.split.utils')
162.276  002.880  000.615: require('nui.split')
164.869  001.419  001.419: require('nui.popup.border')
164.899  002.617  001.198: require('nui.popup')
165.381  000.412  000.412: require('neo-tree.ui.highlights')
165.852  000.283  000.283: require('nui.input')
165.857  000.472  000.190: require('neo-tree.ui.popups')
166.384  000.341  000.341: require('neo-tree.events.queue')
166.389  000.530  000.188: require('neo-tree.events')
166.405  009.781  000.933: require('neo-tree.ui.renderer')
168.755  000.796  000.796: require('neo-tree.sources.filesystem.lib.filter_external')
171.249  001.295  001.295: require('plenary.iterators')
171.259  001.670  000.374: require('neo-tree.sources.common.file-nesting')
172.201  000.134  000.134: require('neo-tree.git.utils')
172.207  000.791  000.657: require('neo-tree.git.status')
172.383  000.175  000.175: require('neo-tree.git.ignored')
172.388  001.126  000.160: require('neo-tree.git')
172.392  003.628  000.833: require('neo-tree.sources.common.file-items')
172.849  000.455  000.455: require('neo-tree.sources.filesystem.lib.fs_watch')
172.856  005.475  000.595: require('neo-tree.sources.filesystem.lib.fs_scan')
173.094  000.236  000.236: require('neo-tree.ui.inputs')
173.146  006.739  001.028: require('neo-tree.sources.manager')
174.551  000.662  000.662: require('neo-tree.defaults')
174.752  000.196  000.196: require('neo-tree.setup.mapping-helper')
175.434  000.244  000.244: require('neo-tree.command.parser')
175.645  000.207  000.207: require('neo-tree.command.completion')
175.650  000.685  000.235: require('neo-tree.command')
175.652  000.895  000.210: require('neo-tree.setup.netrw')
175.656  002.506  000.752: require('neo-tree.setup')
175.663  020.495  000.375: require('neo-tree')
176.248  000.285  000.285: require('neo-tree.setup.deprecations')
180.993  000.406  000.406: require('neo-tree.sources.filesystem.lib.globtopattern')
